bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Python Domination: An Open Educational Game For Learning Programming Fundamentals,"da Silva, J Pereira and Guimar{\~a}es, G and de G{\'o}is Teixeira, L Fernando and Silveira, I Frango",,2020,Snowballing,9004--9013,,"In the scope of Higher Education, students face many barriers arose from different causes, as insufficient prerequisites, socioeconomic factors or scarce interest and motivation. Usually, these factors can lead to high dropout rates in some specific careers, as happens in Information Technology (IT)-related courses. Some recent studies point out that the adoption of non-conventional teaching practices and attitudes, especially in the first semesters, can collaborate to change this scenario. Many of these practices try to bring students to the central focus of the process; some of them are worried about keeping them in this focal point – and some reach this goal adding fun in the learning process. By promoting ludic activities, it is expected that the amusement brought by them helps to motivate students without losing the effectiveness of the main learning objective.

In this sense, the goal of this paper is to present a 2D educational game for learning fundamental concepts of programming, whose narrative is based on a battle among robots and humans. Students are supposed to interact with characters through console instructions – in the virtual world, there are characters and items like robot enemies and electromechanical structures (as automated doors, moving platforms, lasers emitters and sensors), which are meant to be manipulated by programming codes. By presenting a ludic situation where students are kept motivated to use programming structures in a coherent manner through an easy-to-use classic 2D platform game environment, the Python Domination game constitutes an educational resource with high potential to be applied in different contexts of programming learning.

An experiment was carried out with a sample of 54 IT students from three different courses (Computer Science, System Analysis and Development, Digital Games), following a qualitative approach. The model MEEGA+ was applied together with a 5-level Likert-like scale survey. Results shown as very positive – the goal of offering a motivating educational game was achieved, according to students’ evaluation; during the gameplay, boss-challenge tests, mixed with choice questions about programming were presented to students, which were meant to correctly answer at least 60% of them in order to finish levels. Regarding to the perception of learning, according to the same survey, Python Domination achieved the objective of being a tool that assists in the learning process of programming fundamentals. Further work involves the improvement of some playability aspects, as well as to perform new experiments with bigger groups of IT students.",,,,,,,,,,,,"46244,96579","46245,7556",FerYang,FerYang,Accepted,
,Enhancing flood disaster education for children through gamified learning: development and evaluation of a web-based serious game,"Mahamood, Rifat and Kankanamge, Nayomi and De Silva, Chathura and Ranasinghe, Daneesha and Kangana, Nuwani",Frontiers in Sustainability,2026,Snowballing,1780679,7,"The use of gamification or serious games to deliver disaster education to children can be considered as an innovative teaching and learning model. However, traditional disaster education practices heavily rely on teacher-centered approaches, where knowledge is primarily transmitted through lectures or predefined expertise. Similarly, most serious games for disaster education are either limited to board games or fail to provide comprehensive learning experience. Against this backdrop, this study developed a web-based serious game to enhance flood disaster education. Two testing iterations and one demonstration session were conducted with children and youth, incorporating pre- and post-game assessments of flood-related knowledge. The target group consisted of 51 children aged 6-12 years. Comparison of pre- and post-test results showed that over 86% of participated children demonstrated an increase in flood-related knowledge after playing the serious game. The study findings demonstrated that serious games can be more effective: (a) when they are designed as part of a broader problem-based learning exercise that can be seamlessly integrated into the school curriculum; and (b) when they prioritize constructive and experiential pedagogical approaches, encouraging creative imagination, exploration, and active knowledge construction rather than relying solely on command- and instruction-based approaches. Accordingly, education and disaster management policies should consider formally integrating web-based serious games into school curricula and preparedness programs as a scalable, participatory, and evidence-based tool to strengthen disaster awareness and resilience among children.",,,,,,,Frontiers Media SA,,,,,"46240,77296","46245,75554",FerYang,FerYang,Accepted,
,"Forensic Investigation of Smart Connected Devices: A Comprehensive Experimental Study on Mobile Phones, Social Robots, Gaming Consoles, Drones, and VR Headsets","Daniel, Snit and Seghid, Niyat and Iqbal, Farkhund and Marrington, Andrew and Dermott, Aine Mac and Al-Room, Khalifa",,2025,IEEE Digital Library,1-9,,"The widespread adoption of small-scale digital devices, including smartphones, gaming consoles, drones, and social robots, has made them valuable sources of digital evidence due to the vast array of artifacts they contain. However, extracting forensically relevant information from these devices presents significant challenges due to their diversity in hardware, firmware, and operating systems. This paper addresses the need for comprehensive forensic investigations of these devices. We aim to extract and analyze relevant artifacts using a variety of open-source and proprietary forensic tools. Through experimental research, this study evaluates the performance and capabilities of different forensic tools across various devices. For example, tools such as MOBILedit and iRecoveryStick were particularly effective for data extraction from iPhones, although they did not recover deleted data. Autopsy and Belkasoft were found to be successful in analyzing data from BlackBerry devices, with Belkasoft excelling in recovering deleted files. For gaming consoles such as the Xbox One S, Autopsy provided the most comprehensive analysis despite the presence of strong encryption, which limited the recovery of some artifacts. In the case of drones, AccessData FTK Imager was successful in creating forensic images, with further analysis enhanced by tools like DatCon and Autopsy. When it came to social robots (i.e., Zenbo, Zenbo Junior, and Misty II), forensic investigations utilized ADB (Android Debug Bridge) commands for Android systems and SMB protocols for Windows IoT Core, ensuring non-invasive data extraction and detailed analysis of user interactions and system vulnerabilities. The findings offer valuable guidance for practitioners in selecting the most effective tools for conducting forensic investigations of small-scale digital devices, highlighting the strengths and limitations of each tool in different scenarios.",,10.1109/ICNGN67480.2025.11413690,,,,Headphones;Forensics;Operating systems;Social robots;Autopsy;Digital forensics;Personal digital devices;Data mining;Smart phones;Drones;Digital forensics;Smart devices;Mobile forensics;Gaming consoles;Social robots;Drones;VR headsets,,,,,O estudo não apresenta um jogo,"46233,81291","46238,0205",FerYang,FerYang,Rejected,
,"Workshop: 3D Reconstruction, Digital Twinning, and Simulation for Virtual Experiences (ReDigiTS 2025)","Cannavò, Alberto and Calandra, Davide and Kapralos, Bill and Seinfeld, Sofia and Zang, Congyi",,2025,IEEE Digital Library,394-395,,"Currently, Augmented Reality (AR), Virtual Reality (VR), and Mixed Reality (MR) technologies are becoming pivotal across an extensive range of application domains. All these technologies fall within the spectrum of Extended Reality (XR) spectrum. The scope of XR technologies, particularly immersive experiences, is expanding rapidly, shifting from established fields such as entertainment and video game development to emerging sectors such as industry, healthcare, smart cities, and autonomous vehicles. The spread of XR and VR is largely pushed by advancements in technology, which are simplifying and enabling novel methods of interaction within virtual environments. More specifically, the introduction of advanced hardware and software tools has made ""3D reconstructions"", ""digital twins"", and ""simulations"" essential components of numerous XR and VR applications. For instance, the availability of networks with unprecedented bandwidth and reduced latency facilitates the real-time transmission of massive data volumes required for large-scale digital twins. Another example is high-performance hardware, which supports the creation of highly detailed digital objects and environments, as well as the potential to reduce the time required for resource-intensive simulations. The 3D Reconstruction, Digital Twinning, and Simulation for Virtual Experiences (ReDigiTS) workshop aims to engage researchers, practitioners, educators, and students to exchange ideas and foster further research in the field of 3D reconstruction, digital twinning, and simulation within VR and related technologies.",,10.1109/VRW66409.2025.00090,,,,Solid modeling;Video games;Three-dimensional displays;Smart cities;Conferences;Virtual environments;User interfaces;Hardware;Digital twins;Software tools,,,,,O estudo não apresenta um jogo,"46233,81291","46238,01942",FerYang,FerYang,Rejected,
,Are Users the Next Entrepreneurs? A Case Study of the Video GameIndustry,"Burger-Helmchen, Thierry and Guittard, Claude",INTERNATIONAL REVIEW OF ENTREPRENEURSHIP,2008,ISI Web of Science,57-74,6,"Knowledge based-entrepreneurial firms struggle to survive because they
have to be simultaneously entrepreneurial on several dimensions. Can
these firms rely on users to achieve sufficient efficiency in some
entrepreneurial dimensions? To answer this question we drew on the
entrepreneurial theories of the firm and on the users/innovator
literature. In this work we present the plural entrepreneurship
framework and then with a longitudinal case study of a mobile phone
video-game firm which relies on users to improve their games we show
that the user can significantly enhance the efficiency of the innovation
of the firm. We also show that the other important dimensions of the
firm behavior (organization, business model) can be significantly
improved by the implication of users.",,,,,,,,2009-2822,,,O estudo não apresenta um jogo,"46233,83587","46238,01907",FerYang,FerYang,Rejected,
,OUTLAW COMMUNITY INNOVATIONS,"Schulz, Celine and Wagner, Stefan",INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,2008,ISI Web of Science,399-418,12,"Recent studies of outlaw communities provide qualitative evidence of
their existence and the organisation of the underlying innovation
processes. We provide descriptive results from a large scale survey of
two online outlaw communities focussing on Microsoft's XBox (a gaming
console). Based on the previous findings, we identify two types of
participants in outlaw communities - user innovators and adopters. Based
on 2256 responses, we find that users modify their XBox mainly to be
able to increase the set of available functions of their XBox. Users are
also motivated to modify their XBox for the sake of having fun and to
conduct pirate behaviour. Finally, results from our survey also suggest
that user innovators are largely intrinsically motivated by fun and the
intellectual stimulation of writing code for homebrew software.",,10.1142/S1363919608002084,,,,,,1363-9196,,,O estudo não apresenta um jogo,"46233,83587","46238,01656",FerYang,FerYang,Rejected,
,Feedback source modality effects on training outcomes in a serious game,"Goldberg, Benjamin and Cannon-Bowers, Janis",Comput. Hum. Behav.,2015,ACM Digital Library,1–11,52,"In-game real-time feedback produced significantly higher performance outcomes.Feedback delivered by pedagogical agents resulted in largest retention outcomes.Feedback delivered as audio alone produced negative gains in assessments outcomes.Agent interface modalities did not vary across performance and mental demand scores.Feedback delivered as audio alone resulted in significantly lower mental demand. The aim of this research is to enhance game-based training applications to support educational events in the absence of live instruction. The overarching purpose of the presented study was to explore available tools for integrating intelligent tutoring communications in game-based learning platforms and to examine theory-based techniques for delivering explicit feedback in such environments. The primary tool influencing the design of this research was the open-source Generalized Intelligent Framework for Tutoring (GIFT), a modular domain-independent architecture that provides the tools and methods to author, deliver, and evaluate intelligent tutoring technologies within any instructional domain. Influenced by research surrounding social cognitive theory and cognitive load theory, the resulting experiment tested varying approaches for utilizing an Embodied Pedagogical Agent (EPA) to function as a tutor during interaction in a game-based training environment. Conditions were authored to assess the tradeoffs between embedding an EPA directly in a game, embedding an EPA in GIFT's browser-based Tutor-User Interface (TUI), or using audio prompts alone with no social grounding. The resulting data supported the application of using an EPA embedded in GIFT's TUI to provide explicit feedback during a game-based learning event. Analyses revealed conditions with an EPA situated in the TUI to be as effective as embedding the agent directly in the game environment.",,10.1016/j.chb.2015.05.008,https://doi.org/10.1016/j.chb.2015.05.008,,,"Pedagogical agents, Intelligent tutoring systems, Generalized intelligent framework for tutoring, Game-based training, Explicit feedback, Cognitive load",Elsevier Science Publishers B. V.,0747-5632,,,O estudo não apresenta um jogo,"46234,01964","46238,01264",FerYang,FerYang,Rejected,
,LVE for Lua Game Programming,"Akinlaja, Darmie",,2013,ACM Digital Library,,,"Master the Lua programming language and build exciting strategy-based games in 2D using the LVE framework Overview Discover the LVE framework and build games easily and efficiently Learn how to utilize the LVE frameworks tools to create a 2D game world A step-by-step approach to learning game development In Detail LVE is a game development framework for making 2D games using the Lua programming language. LVE is totally free, and can be used in anything from friendly open-source hobby projects, to closed-source commercial ones. Using the Lua programming framework, one can use LVE2D to make any sort of interesting games. LVE for Lua Game Programming will quickly and efficiently guide you through how to develop a video game from idea to prototype. Even if you are new to game programming, with this book, you will soon be able to create as many game titles as you wish without stress. The LVE framework is the quickest and easiest way to build fully-functional 2D video games. It leverages the Lua programming language, which is known to be one of the easiest game development languages to learn and use. With this book, you will master how to develop multi-platform games for Windows, Linux, and Mac OS X. After downloading and installing LVE, you will learn by example how to draw 2D objects, animate characters using sprites, and how to create game physics and game world maps. LVE for Lua Game Programming makes it easier and quicker for you to learn everything you need to know about game programming. If youre interested in game programming, then this book is exactly what youve been looking for. What you will learn from this book Create different environments to make your games more interesting Add sound and music to your games Apply game physics and real-time particle collisions Animate game characters using sprites Deploy your games to Windows, Linux, and Mac platforms Approach This book follows a tutorial approach with examples and step-by-step instructions to help explain the key concepts of the LVE framework as well as everything you need to know about game development using the Lua programming language. Who this book is written for LVE for Lua Game Programming is for anyone who is interested in learning about desktop game development.",,,,,,,Packt Publishing,,,,O estudo não está disponível,"46234,01965","46237,99771",FerYang,FerYang,Rejected,
,Games Ready to Use: A Serious Game for Teaching Natural Risk Management,"Taillandier, Franck and Adam, Carole",Simulation and Gaming,2018,Scopus,441 – 470,49,"Background. Risk management, and in particular the management of natural hazards and territorial risks has become an essential skill for civil engineers. Teaching risk management to engineering students is therefore crucial, but is also challenging: it looks too abstract to students, and practical works are complex and expensive to organise. It also involves interconnected mechanisms coupling human and technical aspects, that are difficult to explain. Aim. The challenge is then to propose a serious game able to support the teaching of territorial risk management to engineering students. As part of their curriculum, these students are expected to learn various concepts and notions: territorial risk, vulnerability of a territory, resilience, risk perception, multi-criteria analysis and balanced management. Method. In order to support risk management teaching, we propose SPRITE, an agent-based serious game using a concrete case study which is exemplary in terms of risk management: the coastal floods on the Oleron Island (France). SPRITE places the player (the student) in the role of a local councillor of the Oleron Island, who must ensure the safety and well-being of the island residents, while maximising performance with respect to economic and environmental issues, in a context of coastal flood risk. Results. The model is fully implemented in GAMA, an open-source multi-agent geographical simulation platform, and the game is already playable. It was used at the University of Bordeaux in a course on risk management dedicated to students in the Master of Geology and Civil Engineering. The evaluation of engagement and motivation with the game and learning from playing is very positive. Conclusions. The results from the game evaluation are encouraging. Short term future work will mainly be dedicated to pursuing this evaluation, and comparing results between students using SPRITE vs students following a more traditional course. Longer term prospects include several improvements of the model and the interface and implemented multiplayer features. © The Author(s) 2018.",Article,10.1177/1046878118770217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050265555&doi=10.1177%2f1046878118770217&partnerID=40&md5=c451e3b6aa0838b0cd34f8c473292304,,,,,,,"Cited by: 62; All Open Access, Green Open Access",,"45585,73325","46237,99303",FerYang,FerYang,Accepted,
,Innovate in your program computer class: an approach based on a serious game,"Piteira, Martinha and Haddad, Samir R.",,2011,ACM Digital Library,49–54,,"Computers programming is one of the computer science disciplines which normally present high rates of student's dropout and retention. Literature points to several factors which contribute to dropouts and retentions. The difficulty in understanding abstract concepts and the current teaching method based on traditional lectures with low interaction between students generate low motivation and consequently the lack of interest in learning computer programming.Several approaches to overcome this problem have been used. Some of these approaches are based on the use and integration of technology in learning. The current generation has a natural acceptance for technology and the use of emerging technologies in education contributes significantly to an increased motivation in students.In order to help the increasing of motivation and the interest in learning programming in this paper we present a Web-based educational game. Through the use of this game, student learns, applying his knowledge while having fun playing. The game will be integrated and aligned with content and activities of the discipline. To facilitate this alignment and integration it was developed a methodology that will be described. It will also be described the evaluation methodology of the game.",,10.1145/2016716.2016730,https://doi.org/10.1145/2016716.2016730,,,"online educational games, eGames, computer programming",Association for Computing Machinery,,,,O estudo não apresenta um jogo open source,"46234,01964","46234,88043",FerYang,FerYang,Rejected,
